Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,298,"$1,400,000 ",6,1530,7/25/17
SOLD,1639,"$789,000 ",11,1086,7/25/17
SOLD,1623,"$915,000 ",79,1236,7/25/17
SOLD,1605,"$977,000 ",8,1300,7/26/17
SOLD,298,"$1,435,000 ",22,1600,7/26/17
SOLD,66,"$1,540,000 ",4,1409,7/26/17
SOLD,64,"$595,000 ",28,801,7/27/17
SOLD,1294,"$925,000 ",18,1310,7/27/17
SOLD,1186,"$930,000 ",35,1220,7/27/17
SOLD,156,"$1,110,000 ",49,1535,7/27/17
SOLD,156,"$999,000 ",20,1300,7/27/17
SOLD,1623,"$560,000 ",11,682,7/28/17
SOLD,1623,"$355,000 ",54,585,7/28/17
SOLD,1598,"$998,500 ",0,1323,7/28/17
SOLD,1636,"$915,000 ",8,1452,7/28/17
SOLD,1623,"$606,000 ",39,780,7/30/17
SOLD,1623,"$467,000 ",6,600,7/31/17
SOLD,298,"$859,000 ",6,1300,7/31/17
SOLD,1598,"$999,999 ",28,1231,7/31/17
SOLD,1650,"$1,975,000 ",42,3480,7/31/17
SOLD,150,"$365,000 ",11,,7/31/17
SOLD,1526,"$620,000 ",2,823,8/1/17
SOLD,1186,"$849,000 ",27,1211,8/1/17
SOLD,1598,"$1,165,000 ",61,1342,8/1/17
SOLD,1698,"$810,000 ",15,1331,8/1/17
SOLD,5134,"$712,500 ",6,1050,8/1/17
SOLD,64,"$460,000 ",16,600,8/1/17
SOLD,1186,"$999,999 ",27,1288,8/1/17
SOLD,298,"$822,500 ",8,1051,8/1/17
SOLD,1283,"$759,000 ",8,1310,8/1/17
SOLD,151,"$498,000 ",16,650,8/2/17
SOLD,1603,"$800,000 ",56,1050,8/2/17
SOLD,64,"$710,000 ",6,937,8/2/17
SOLD,1598,"$975,000 ",15,1259,8/3/17
SOLD,1635,"$1,050,000 ",0,1212,8/3/17
SOLD,1623,"$955,000 ",31,1474,8/3/17
SOLD,5678,"$730,000 ",7,1225,8/3/17
SOLD,156,"$950,000 ",7,1430,8/3/17
SOLD,5900,"$450,000 ",27,581,8/4/17
SOLD,5845,"$995,000 ",3,1508,8/4/17
SOLD,1598,"$1,600,000 ",40,,8/5/17
SOLD,1411,"$1,800,000 ",0,,8/7/17
SOLD,5845,"$1,295,000 ",14,1787,8/7/17
SOLD,1623,"$685,000 ",7,702,8/8/17
SOLD,1597,"$850,000 ",22,1116,8/8/17
SOLD,1641,"$770,000 ",11,1375,8/8/17
SOLD,5678,"$565,000 ",19,812,8/8/17
SOLD,1623,"$1,015,000 ",21,1404,8/8/17
SOLD,1623,"$999,000 ",4,1362,8/9/17
SOLD,1623,"$1,488,000 ",5,1953,8/10/17
SOLD,298,"$615,000 ",7,933,8/11/17
SOLD,298,"$900,000 ",76,1267,8/11/17
SOLD,5900,"$620,000 ",2,680,8/11/17
SOLD,1529,"$585,500 ",4,900,8/11/17
SOLD,64,"$569,900 ",11,790,8/11/17
SOLD,1623,"$590,000 ",44,820,8/12/17
SOLD,1598,"$455,000 ",6,,8/14/17
SOLD,1481,"$495,000 ",4,743,8/14/17
SOLD,1703,"$656,000 ",4,958,8/14/17
SOLD,1294,"$2,535,000 ",108,2767,8/15/17
SOLD,1623,"$998,500 ",7,1321,8/15/17
SOLD,5675,"$590,000 ",41,830,8/15/17
SOLD,1294,"$470,000 ",21,776,8/15/17
SOLD,1623,"$825,000 ",17,1326,8/16/17
SOLD,64,"$1,425,000 ",82,1530,8/16/17
SOLD,156,"$707,000 ",5,929,8/16/17
SOLD,1623,"$1,060,000 ",1,1362,8/16/17
SOLD,224,"$1,535,000 ",76,1626,8/16/17
SOLD,5845,"$715,000 ",6,952,8/17/17
SOLD,1603,"$1,155,000 ",20,1688,8/21/17
SOLD,1623,"$1,200,000 ",11,1780,8/21/17
SOLD,1650,"$2,150,000 ",34,3057,8/21/17
SOLD,1641,"$675,000 ",6,1000,8/21/17
SOLD,64,"$500,000 ",40,765,8/22/17
SOLD,156,"$890,000 ",1,1166,8/22/17
SOLD,1650,"$1,846,290 ",15,2516,8/22/17
SOLD,1598,"$510,000 ",15,750,8/22/17
SOLD,1186,"$755,000 ",19,1050,8/22/17
SOLD,1294,"$510,000 ",9,644,8/22/17
SOLD,1623,"$1,052,500 ",0,1362,8/23/17
SOLD,1623,"$925,000 ",52,1100,8/24/17
SOLD,6036,"$700,000 ",15,1161,8/24/17
